start_time,end_time,frequency,pitch
0.0,0.14,177.15393651441798,53.25
0.14,0.16,530.8619935522296,72.24999999999999
0.16,0.18,508.3551866238001,71.49999999999999
0.18,0.2,501.0669992929443,71.25
0.2,0.22,472.9442695651064,70.25
0.22,0.24,111.59998684312758,45.25
0.24,0.3,88.57696825720899,41.25
0.3,0.36,99.4242852230211,43.24999999999999
0.36,0.4,111.59998684312758,45.25
0.4,0.44,99.4242852230211,43.24999999999999
0.44,0.52,88.57696825720899,41.25
0.52,0.54,99.4242852230211,43.24999999999999
0.54,0.56,595.8724406522327,74.25
0.56,0.6,140.60717259164736,49.24999999999999
0.6,0.62,88.57696825720899,41.25
0.62,0.86,99.4242852230211,43.24999999999999
0.86,0.9,93.84402887874772,42.25
0.9,0.94,80.0609250563203,39.49999999999999
0.94,0.96,88.57696825720899,41.25
0.96,1.0,111.59998684312758,45.25
1.0,1.02,100.87044475251383,43.5
1.02,1.08,99.4242852230211,43.24999999999999
1.08,1.1,102.33763915673613,43.75
1.1,1.12,103.82617439498628,43.99999999999999
1.12,1.14,110.0,45.0
1.14,1.18,111.59998684312758,45.25
1.18,1.2,114.87011606701552,45.75
1.2,1.22,118.2360673912766,46.24999999999999
1.22,1.24,119.95585059317834,46.5
1.24,1.26,121.70064861777165,46.75
1.26,1.28,123.47082531403103,46.99999999999999
1.28,1.42,125.26674982323607,47.249999999999986
1.42,1.44,123.47082531403103,46.99999999999999
1.44,1.46,121.70064861777165,46.75
1.46,1.48,119.95585059317834,46.5
1.48,1.5,118.2360673912766,46.24999999999999
1.5,1.52,116.54094037952248,46.0
1.52,1.54,114.87011606701552,45.75
1.54,1.62,111.59998684312758,45.25
1.62,1.66,113.22324603078413,45.49999999999999
1.66,1.74,114.87011606701552,45.75
1.74,1.8,113.22324603078413,45.49999999999999
1.8,1.82,138.59131548843604,49.0
1.82,1.84,134.6458897635121,48.49999999999999
1.84,1.86,132.7154983880574,48.25
1.86,1.96,130.8127826502993,48.0
1.96,2.0,128.93734577011767,47.74999999999999
2.0,2.04,127.08879665595002,47.5
2.04,2.14,125.26674982323607,47.249999999999986
2.14,2.16,132.7154983880574,48.25
2.16,2.18,134.6458897635121,48.49999999999999
2.18,2.22,132.7154983880574,48.25
2.22,2.36,134.6458897635121,48.49999999999999
2.36,2.4,132.7154983880574,48.25
2.4,2.46,130.8127826502993,48.0
2.46,2.52,132.7154983880574,48.25
2.52,2.56,134.6458897635121,48.49999999999999
2.56,2.66,132.7154983880574,48.25
2.66,2.7,134.6458897635121,48.49999999999999
2.7,2.74,132.7154983880574,48.25
2.74,2.76,130.8127826502993,48.0
2.76,2.8,132.7154983880574,48.25
2.8,2.84,111.59998684312758,45.25
2.84,2.86,114.87011606701552,45.75
2.86,2.88,128.93734577011767,47.74999999999999
2.88,2.94,130.8127826502993,48.0
2.94,3.02,128.93734577011767,47.74999999999999
3.02,3.14,125.26674982323607,47.249999999999986
3.14,3.16,121.70064861777165,46.75
3.16,3.18,119.95585059317834,46.5
3.18,3.26,118.2360673912766,46.24999999999999
3.26,3.3,119.95585059317834,46.5
3.3,3.32,118.2360673912766,46.24999999999999
3.32,3.34,116.54094037952248,46.0
3.34,3.36,113.22324603078413,45.49999999999999
3.36,3.38,110.0,45.0
3.38,3.4,108.42295185042062,44.74999999999999
3.4,3.42,106.86851352689666,44.5
3.42,3.46,105.3363608768431,44.25
3.46,3.54,103.82617439498628,43.99999999999999
3.54,3.58,105.3363608768431,44.25
3.58,3.6,103.82617439498628,43.99999999999999
3.6,3.64,102.33763915673613,43.75
3.64,3.66,97.99885899543733,43.0
3.66,3.7,95.20902171067573,42.49999999999999
3.7,3.82,93.84402887874772,42.25
3.82,3.84,95.20902171067573,42.49999999999999
3.84,3.86,96.59386882053147,42.75
3.86,3.88,99.4242852230211,43.24999999999999
3.88,3.9,102.33763915673613,43.75
3.9,3.92,103.82617439498628,43.99999999999999
3.92,3.94,105.3363608768431,44.25
3.94,3.96,108.42295185042062,44.74999999999999
3.96,3.98,110.0,45.0
3.98,4.04,111.59998684312758,45.25
4.04,4.08,113.22324603078413,45.49999999999999
